"Symbol","Company_Name","Country","IPO_Year","Sector","Last_Sale"
"A","Agilent Technologies Inc. Common Stock","United States","1999","Industrials","127.56"
"AACG","ATA Creativity Global American Depositary Shares","China","2008","Consumer Discretionary","1.06"
"AAPL","Apple Inc. Common Stock","United States","1980","Technology","148.84"
"ABBV","AbbVie Inc. Common Stock","United States","2012","Health Care","147.37"
"ABCM","Abcam plc American Depositary Shares","United Kingdom","2020","Health Care","14.86"
"ABG","Asbury Automotive Group Inc Common Stock","United States","2002","Consumer Discretionary","181.15"
"ABNB","Airbnb Inc. Class A Common Stock","United States","2020","Consumer Discretionary","120.87"
"ACBA","Ace Global Business Acquisition Limited Ordinary Shares","Hong Kong","2021","Finance","10.27"
"ACBAW","Ace Global Business Acquisition Limited Warrant","Hong Kong","2021","Consumer Discretionary","0.06"
"ACH","Aluminum Corporation of China Limited American Depositary Shares","China","2001","Industrials","10.89"
"ACHL","Achilles Therapeutics plc American Depositary Shares","United Kingdom","2021","Health Care","2.5"
"ACIU","AC Immune SA Common Stock","Switzerland","2016","Health Care","3.14"
"ACN","Accenture plc Class A Ordinary Shares (Ireland)","Ireland","2001","Consumer Discretionary","298.46"
"ADAG","Adagene Inc. American Depositary Shares","China","2021","Health Care","2.8"
"ADAP","Adaptimmune Therapeutics plc American Depositary Shares","United Kingdom","2015","Health Care","1.44"
"ADBE","Adobe Inc. Common Stock","United States","1986","Technology","416.48"
"ADUS","Addus HomeCare Corporation Common Stock","United States","2009","Health Care","83.5"
"AER","AerCap Holdings N.V. Ordinary Shares","Netherlands","2006","Consumer Discretionary","49.44"
"AFMD","Affimed N.V.","Germany","2014","Health Care","3.1"
"AFYA","Afya Limited Class A Common Shares","Brazil","2019","Real Estate","12.14"
"AGBA","AGBA Acquisition Limited Ordinary Share","Hong Kong","2019","Finance","11.29"
"AGBAR","AGBA Acquisition Limited Right","Hong Kong","2019","Finance","0.13"
"AGBAW","AGBA Acquisition Limited Warrant","Hong Kong","2019","Finance","0.04"
"AGMH","AGM Group Holdings Inc. Class A Ordinary Shares","Hong Kong","2018","Technology","2.04"
"AGO","Assured Guaranty Ltd. Common Stock","Bermuda","2004","Finance","58.85"
"AGRO","Adecoagro S.A. Common Shares","Luxembourg","2011","Consumer Staples","11.11"
"AHG","Akso Health Group ADS","China","2017","Finance","1.09"
"AIH","Aesthetic Medical International Holdings Group Ltd. American Depositary Shares","China","2019","Health Care","1.85"
"AIHS","Senmiao Technology Limited Common Stock","China","2018","Finance","0.96"
"AIZ","Assurant Inc. Common Stock","United States","2004","Finance","176.69"
"AKAM","Akamai Technologies Inc. Common Stock","United States","1999","Consumer Discretionary","101.04"
"ALC","Alcon Inc. Ordinary Shares","Switzerland","2019","Health Care","74.73"
"ALGN","Align Technology Inc. Common Stock","United States","2001","Health Care","277.64"
"ALGT","Allegiant Travel Company Common Stock","United States","2006","Consumer Discretionary","149.45"
"ALKS","Alkermes plc Ordinary Shares","Ireland","1991","Health Care","29.85"
"ALLE","Allegion plc Ordinary Shares","United States","2013","Consumer Discretionary","111.65"
"ALLT","Allot Ltd. Ordinary Shares","Israel","2006","Telecommunications","5.24"
"ALNY","Alnylam Pharmaceuticals Inc. Common Stock","United States","2004","Health Care","125.8"
"AMAT","Applied Materials Inc. Common Stock","United States","1972","Technology","117.29"
"AMGN","Amgen Inc. Common Stock","United States","1983","Health Care","256.74"
"AMR","Alpha Metallurgical Resources Inc. Common Stock","United States","2018","Energy","161.74"
"AMZN","Amazon.com Inc. Common Stock","United States","1997","Consumer Discretionary","2404.19"
"ANPC","AnPac Bio-Medical Science Co. Ltd. American Depositary Shares","China","2020","Health Care","0.29"
"ANSS","ANSYS Inc. Common Stock","United States","1996","Technology","260.36"
"ANTE","AirNet Technology Inc. American Depositary Shares","China","2007","Consumer Discretionary","1.27"
"AOSL","Alpha and Omega Semiconductor Limited Common Shares","Bermuda","2010","Technology","43.93"
"API","Agora Inc. American Depositary Shares","China","2020","Technology","6.09"
"APM","Aptorum Group Limited Class A Ordinary Shares","Hong Kong","2018","Health Care","1.26"
"APPF","AppFolio Inc. Class A Common Stock","United States","2015","Technology","100.18"
"APTV","Aptiv PLC Ordinary Shares","United Kingdom","2011","Consumer Discretionary","106.24"
"ARCE","Arco Platform Limited Class A Common Shares","Brazil","2018","Consumer Discretionary","16.91"
"ARCH","Arch Resources Inc. Class A Common Stock","United States","2016","Energy","152.84"
"ARCO","Arcos Dorados Holdings Inc. Class A Shares","Argentina","2011","Consumer Discretionary","7.82"
"ARCT","Arcturus Therapeutics Holdings Inc. Common Stock","Israel","2013","Health Care","19.88"
"ARGX","argenx SE American Depositary Shares","Netherlands","2017","Health Care","309.3"
"ASGN","ASGN Incorporated Common Stock","United States","1992","Technology","95.23"
"ASLN","ASLAN Pharmaceuticals Limited American Depositary Shares","Singapore","2018","Health Care","0.4"
"ASML","ASML Holding N.V. New York Registry Shares","Netherlands","1995","Technology","576.29"
"ASND","Ascendis Pharma A/S American Depositary Shares","Denmark","2015","Health Care","84.51"
